word,vowel,token,type,repetition,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,freq_h1,amp_h1,freq_h2,amp_h2,amp_h3,amp_p0,freq_p0,p0_id,p0prominence,a1p0_h1,a1p0_h2,a1p0_h3,a1p0,a1p0_compensated,freq_p1,amp_p1,a1p1,a1p1_compensated,a3p0,vwl_amp_rms,vwl_duration,timepoint,point_time,point_vwlpct,attempted_fix,status,errorflag,nasal,oral,nasalance,murmur,cog,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13
pat,ae,2,oral,1,732,39.84,97,1658,29.78,235,2610,18.5,2064,108,34.34,215,33.27,25.72,34.34,108,H1,1.07,5.5,6.57,14.11794,5.5,7.52548,861,30.37,9.47,13.55016,-15.83799,0.0304112566,198,3,6.483863,22.22,None,Auto,None,51.7708044397466,73.0197974591737,0.414861405041388,0.896685504278238,218.010660024136,608.276039387433,-57.7703145289087,-62.87618020054,0.984232021370799,-9.81588197140909,29.2675396234656,-13.0225879365109,-15.6914279314711,51.2111105135696,21.6336935844383,8.8390723268287,1.92418239456092,22.665686937645
pat,ae,2,oral,1,818,41.11,70,1672,32.76,154,2601,21.44,414,108,33.47,194,33.91,25.8,33.91,194,H2,4.27,7.64,7.2,15.30858,7.2,9.28166,904,28.67,12.44,16.31819,-12.47494,0.0304112566,198,4,6.505892,33.33,None,Auto,None,53.7947171236731,74.4948236558839,0.41932270391481,0.873248897251884,432.795590016635,603.801611790925,-103.433557167259,-45.3559882653522,0.498947399406698,-34.9295024932926,48.498448829094,-5.49661123800285,-46.5644165230246,59.7494953156822,39.4105009316784,-12.8202582667682,10.2074601106782,24.1871129754913
pat,ae,2,oral,1,797,42.25,85,1618,32.54,166,2498,22.13,367,108,32.35,194,33.78,25.8,33.78,194,H2,4.7,9.9,8.47,16.44706,8.47,10.55031,904,30.22,12.03,16.15956,-11.65101,0.0304112566,198,5,6.527922,44.44,None,Auto,None,53.0995482933777,74.2597729155495,0.41692706736612,0.87306387943824,365.774282795707,593.438113164472,-117.969045129656,-42.0995985558271,-6.57377638524396,-34.4814884803179,53.5451239087582,-0.089836627258584,-46.3868154748971,64.7541999234332,38.0053097285415,-23.2115456710065,9.17752602198435,23.8755769204715
pat,ae,2,oral,1,775,40.82,102,1590,31.31,190,2573,19.46,336,108,32.83,194,34.54,26.91,34.54,194,H2,4.67,7.99,6.28,13.90923,6.28,8.35603,883,35.62,5.2,10.71343,-15.0822,0.0304112566,198,6,6.549951,55.56,None,Auto,None,52.136993534531,73.8145040007916,0.413945007044552,0.883276155366774,936.937307579231,613.82302429576,-113.015750353805,-95.1828181360147,-11.362231078176,-24.8381416585477,7.56674535672963,16.2989198513477,-51.3740355115823,62.557817597472,20.0509225951032,-16.0994154389876,25.5609700789723,12.6923765244543
pat,ae,2,oral,1,711,40.25,95,1569,30.57,138,2466,19.42,222,108,33.99,194,34.34,28.38,34.34,194,H2,3.15,6.26,5.91,11.87016,5.91,7.9905,904,31.86,8.39,12.61745,-14.92042,0.0304112566,198,7,6.571981,66.67,None,Auto,None,52.4912564765063,73.6634809556161,0.416086288513336,0.897470255312485,884.222973912923,599.501713409622,-87.4162411214923,-76.0682566273326,-23.7462881577144,-29.1035086160938,25.3176877835086,-3.98158824067268,-47.0801434344263,63.7817561540081,17.1722476885283,-3.59797414827372,4.70346433034103,33.4415116877093
pat,ae,2,oral,1,732,38.87,85,1596,29.01,99,2564,14.55,296,108,35.25,215,34.21,26.19,35.25,108,H1,1.04,3.62,4.66,12.67861,3.62,5.64356,861,32.6,6.27,12.13494,-20.69518,0.0304112566,198,8,6.59401,77.78,None,Auto,None,51.7434236986073,72.2629623041633,0.417264185873873,0.928187571667385,389.888658035993,542.894832894566,-78.0495178353076,18.5965765647159,-18.5028569086878,-63.9417442327824,75.2187427054612,10.7155391878415,-48.8706039127968,59.4363724794366,11.3631662362706,-9.18164018098384,12.0307347647655,9.53072559907991
pat,ae,2,oral,1,646,32.64,153,1593,23.6,221,2670,14.04,224,108,35.74,215,32.94,25.63,35.74,108,H1,2.8,-3.1,-0.3,7.00733,-3.1,-1.07302,883,28.3,4.34,7.54293,-21.70364,0.0304112566,198,9,6.61604,88.89,None,Auto,None,49.1047077984668,68.6040844749421,0.417171112285381,0.994500512881896,326.680651529901,543.286978770154,-33.3043653131877,31.0662548264447,-10.3986973221492,-40.6970130494375,54.5801619483276,17.3077474135223,-83.7497738273945,65.7702455700769,22.5405929158375,-39.3318118348997,31.2368071770501,17.3726732817807
pat,ae,2,oral,1,323,-3.06,969,1696,-9.76,459,2949,-10.23,271,98,13.15,194,3.12,-2.54,13.15,98,H1,10.03,-16.21,-6.18,-0.52411,-16.21,-14.20813,861,-7.68,4.62,6.44318,-23.37582,0.0304112566,198,10,6.638069,100,None,Auto,LoPitch,46.188314701845,60.3517391357179,0.433530048447942,1.06401763744115,180.233747002675,365.684481552459,-15.3336353528549,142.841347048305,33.5172522895404,5.95002039158721,57.0562083349528,-19.207107842469,6.14219128650832,16.8699985447268,-1.42289197855736,10.5214846284639,13.2848137800165,18.1016998876099
toot,u,3,oral,1,388,11.12,497,2163,13.47,134,2966,18.52,134,97,23.3,172,8.12,15.84,23.3,97,H1,15.17,-12.18,3,-4.71747,-12.18,-10.16011,926,2.22,8.9,10.59626,-4.78245,0.0293488578,130,1,8.163696,0,None,Auto,LoPitch,52.4796593596264,68.2309506253568,0.434755978502263,1.06604053963488,266.344790593753,477.216419379315,9.89182514387255,140.366052721592,87.5466403979884,48.9343501156513,22.0427789504747,-105.612281953044,-34.6078658715859,27.5561355328259,-1.51359287981936,5.54536611251706,-22.2176120278151,-8.12998176946461
toot,u,3,oral,1,345,39.34,70,1601,9.19,1793,2083,15.72,296,108,39.96,237,39.28,39.34,39.96,108,H1,0.68,-0.62,0.06,-0.00219,-0.62,1.48667,947,1.44,37.9,39.17738,-24.24481,0.0293488578,130,2,8.178162,11.11,None,Auto,None,56.4705203306845,71.7089504835951,0.44055822646128,1.04246130369491,226.47443140102,519.694543982714,-71.939672039979,123.796228545214,76.9797074999386,66.9035754842868,19.8567705619649,-110.705528120156,-24.5389540982293,13.2675664432648,-25.2367788388764,10.9157892971697,-23.8661805612209,-5.48579068411124
toot,u,3,oral,1,345,39.24,70,2011,16.71,307,2600,20.9,3471,108,39.1,215,38.7,39.24,39.1,108,H1,0.4,0.14,0.54,-0.00172,0.14,2.24001,904,7.59,31.65,33.08346,-18.20029,0.0293488578,130,3,8.192629,22.22,None,Auto,None,57.8237628633975,72.1463702615592,0.444900389598003,1.04223555359002,347.590611855238,502.314036304099,-49.8759289730792,120.343432110093,77.199740643887,67.1149867544937,12.198272082265,-114.535748861614,-37.2252281643066,9.75104073446792,-25.2650032540865,1.38778604993842,-26.6984707636356,3.43180516975374
toot,u,3,oral,1,323,39.87,65,1901,17.66,2197,1977,17.66,281,108,39.84,215,39.12,39.87,39.84,108,H1,0.72,0.03,0.75,0.00463,0.03,2.13088,883,8.61,31.26,32.52807,-22.18147,0.0293488578,130,4,8.207096,33.33,None,Auto,None,58.401357463933,72.3922207075023,0.446515480961799,1.04087434499333,196.025715863382,504.299052341887,-30.4790824554102,112.428649192291,76.9904822081743,61.9541373436475,34.0020818156094,-104.777511089533,-25.9738875604578,15.1294005148427,-28.918507160246,16.6330137193904,-21.7992921773099,-2.66511317464295
